Drug A,Drug B,Cell Line Name,Score
paclitaxel,geldanamycin,OV90,4.219145585451182
Vorinostat,Erlotinib,RKO,-2.588665914009158
Sunitinib,Sorafenib,LOVO,-3.0703466753296
paclitaxel,Dasatinib,RPMI7951,2.1112971208509976
paclitaxel,Lapatinib,VCAP,-19.1693792779686
Sunitinib,Sorafenib,A2058,-0.9096556467231308
vinblastine,Dasatinib,RKO,-5.316952415477393
Dasatinib,geldanamycin,CAOV3,-5.39913759737588
Erlotinib,Sorafenib,CAOV3,6.1026124307435
vinblastine,Sorafenib,LOVO,-1.6005087696864486
metformin,Vorinostat,OVCAR3,-51.6773231694491
vinblastine,geldanamycin,MDAMB436,0.51700222845629
paclitaxel,Lapatinib,MDAMB436,-1.6521884315998507
paclitaxel,Sunitinib,LOVO,2.11024229353816
Sunitinib,Lapatinib,NCIH2122,17.2594267615487
paclitaxel,Sunitinib,SW837,-1.73607437190069
paclitaxel,Sunitinib,OV90,-5.77436797253085
Vorinostat,Dasatinib,UACC62,-0.568998602339841
vinblastine,Vorinostat,OVCAR3,-1.289264920121349
metformin,Erlotinib,NCIH23,-14.1813773041305
Lapatinib,Erlotinib,SKMEL30,-3.31847606547329
Vorinostat,Dasatinib,A2058,11.710679650337616
paclitaxel,Vorinostat,A2780,2.046344769010002
Vorinostat,Erlotinib,NCIH23,-2.77042962989298
Vorinostat,Lapatinib,CAOV3,9.014890317831036
Erlotinib,Dasatinib,T-47D,2.726862934921635
vinblastine,geldanamycin,OV90,-3.4922781726655696
Lapatinib,Dasatinib,OVCAR3,1.292753014965791
Erlotinib,Dasatinib,SK-OV-3,8.16191414696451
Vorinostat,Sorafenib,NCIH2122,-8.251107402184557
Vorinostat,geldanamycin,VCAP,7.262818938793504
Vorinostat,Erlotinib,NCIH1650,4.14054171285972
vinblastine,Sorafenib,NCIH1650,-13.546032832554804
Erlotinib,Dasatinib,HT144,-16.8307740899425
paclitaxel,Sunitinib,SKMEL30,-0.2642143205483515
Lapatinib,geldanamycin,A375,-6.135426654744688
Vorinostat,Dasatinib,A375,-7.187555808667961
paclitaxel,Sunitinib,A375,8.149714042401495
Vorinostat,Sorafenib,MDAMB436,-6.426376983867103
Lapatinib,Sorafenib,SK-OV-3,13.9953943577381
Vorinostat,Dasatinib,A2780,-6.31868596379813
Vorinostat,Dasatinib,T-47D,5.321680837772678
vinblastine,Erlotinib,SW837,11.9978624338519
vinblastine,Erlotinib,A375,7.909526276907584
Erlotinib,geldanamycin,NCIH1650,7.206977941743588
Sunitinib,Sorafenib,RKO,-7.378812419643663
Sunitinib,Erlotinib,RKO,0.2475632146873464
Sunitinib,Erlotinib,NCIH1650,12.7359625054994
Vorinostat,Dasatinib,NCIH1650,5.220668557811489
geldanamycin,Sorafenib,CAOV3,1.3318185914773402
vinblastine,Vorinostat,A2780,2.776867734737273
metformin,geldanamycin,SKMEL30,-27.8178569354009
paclitaxel,Lapatinib,NCIH23,-4.20883890972707
Sunitinib,geldanamycin,SK-OV-3,2.78743688363977
metformin,Lapatinib,VCAP,-9.657849716236
paclitaxel,Vorinostat,SW837,4.071661498679735
Lapatinib,Erlotinib,SW-620,-10.586292641023492
Lapatinib,geldanamycin,OV90,2.578081311550471
metformin,Erlotinib,MDAMB436,-42.2483635713802
vinblastine,Erlotinib,CAOV3,8.204494762209066
Sunitinib,Lapatinib,A2058,18.5317724911246
vinblastine,Vorinostat,T-47D,6.097122298913325
vinblastine,Lapatinib,A2780,-11.299328727708405
Vorinostat,Sorafenib,T-47D,-6.22433036882608
paclitaxel,Lapatinib,NCIH1650,3.12612254618191
Sunitinib,Dasatinib,CAOV3,8.756217929094177
metformin,Sunitinib,RPMI7951,-1.757118944268968
metformin,Sunitinib,NCIH1650,-51.402683514636095
Sunitinib,Sorafenib,UACC62,-2.13735826282737
Lapatinib,Sorafenib,UACC62,8.88265541550952
Vorinostat,Dasatinib,CAOV3,5.58846482112586
Vorinostat,Dasatinib,SW837,7.383552345763623
Vorinostat,Erlotinib,SW837,10.229168329440906
vinblastine,Lapatinib,SKMEL30,-17.4030551064212
Vorinostat,Erlotinib,SK-OV-3,2.204062447972561
Sunitinib,Lapatinib,HCT116,-3.195242757261453
metformin,Lapatinib,HT144,-36.8822022827233
Lapatinib,geldanamycin,SK-OV-3,3.812227003524945
Vorinostat,Sunitinib,NCIH2122,-6.89310310865277
vinblastine,Lapatinib,SKMES1,-2.85382252753121
vinblastine,Vorinostat,NCI-H460,-7.42349600405968
paclitaxel,Erlotinib,SK-OV-3,4.398848813602776
metformin,Vorinostat,SW-620,-68.1959205924323
vinblastine,Vorinostat,SKMES1,-3.773219093074008
Sunitinib,Lapatinib,A2780,8.453421074249384
metformin,Vorinostat,VCAP,-62.9612541332419
vinblastine,Dasatinib,RPMI7951,2.97844031586002
paclitaxel,Sorafenib,SW837,-5.800670766453999
paclitaxel,Sorafenib,A2780,2.409764321136161
paclitaxel,Sorafenib,VCAP,-1.6610011043127195
paclitaxel,Lapatinib,A2780,1.39259946716825
metformin,Lapatinib,HCT116,-5.785469568057495
Lapatinib,Dasatinib,CAOV3,10.468583156479704
vinblastine,Lapatinib,OV90,0.8267526169764301
Lapatinib,Erlotinib,RPMI7951,-0.4271227388875901
Vorinostat,Sunitinib,SKMES1,-5.85807143580148
Sunitinib,Sorafenib,SW-620,-2.67676896274171
Vorinostat,Lapatinib,HCT116,-3.11888044241469
Sunitinib,Erlotinib,CAOV3,6.71098989067457
Sunitinib,Lapatinib,SKMEL30,6.429854346358795
paclitaxel,geldanamycin,VCAP,-6.897600670415837
metformin,geldanamycin,LOVO,-16.4910721624856
Sunitinib,Lapatinib,A375,-3.057699221935841
metformin,Sunitinib,VCAP,-17.6906096863185
vinblastine,Vorinostat,MDAMB436,0.1461877509898399
Erlotinib,Sorafenib,SW837,-3.01321716593974
Dasatinib,geldanamycin,NCI-H460,-15.0412339008878
Sunitinib,Sorafenib,CAOV3,-3.60075442831331
vinblastine,Sorafenib,SK-OV-3,12.5056328567953
Sunitinib,Sorafenib,MDAMB436,-13.8996269060666
vinblastine,Sorafenib,UACC62,5.265272900492549
Erlotinib,Dasatinib,SW837,12.283123760680592
Erlotinib,geldanamycin,RPMI7951,-2.54688332955635
Erlotinib,Dasatinib,SW-620,11.579228393987275
Vorinostat,Lapatinib,LOVO,-0.3284521577656807
paclitaxel,geldanamycin,HCT116,-2.33292598982445
paclitaxel,Vorinostat,SKMEL30,-0.1058882282985149
metformin,geldanamycin,NCI-H460,-2.4461467814868523
metformin,Lapatinib,NCIH2122,-41.8026500314277
vinblastine,Sorafenib,SKMES1,4.417989059347175
paclitaxel,Dasatinib,HT144,-40.2101205720394
vinblastine,Sunitinib,RPMI7951,-14.277645616907492
vinblastine,Dasatinib,SK-OV-3,3.29681579894721
Vorinostat,Sorafenib,RKO,-0.7012610501602399
Lapatinib,geldanamycin,SW837,8.463248256721428
vinblastine,Lapatinib,NCI-H460,-2.491707941339629
Lapatinib,Erlotinib,UACC62,4.867927463076468
vinblastine,Dasatinib,A375,-1.876637029070265
metformin,Lapatinib,SK-OV-3,-12.955988512618
geldanamycin,Sorafenib,NCIH1650,-7.75971004909346
Sunitinib,geldanamycin,A2780,4.67424026120176
Vorinostat,Sunitinib,SKMEL30,-7.08434802004719
Sunitinib,Sorafenib,NCIH23,-6.19730890695259
paclitaxel,Erlotinib,SKMEL30,-0.1240821746904601
vinblastine,Sorafenib,NCI-H460,4.069163600073605
paclitaxel,geldanamycin,LOVO,-1.77750068778882
vinblastine,Erlotinib,SKMES1,1.8601156760560384
metformin,Vorinostat,NCI-H460,-10.8237586662752
metformin,Erlotinib,OVCAR3,-50.1674018945849
Vorinostat,Sunitinib,HT144,-5.8677981963370005
metformin,Sorafenib,CAOV3,-24.4869919201538
Erlotinib,Dasatinib,SKMEL30,-12.281506448986304
