From,To,Attention,Hop,SignalingPath,SpNotation,individualID
58,467,0.015008814,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,500,0.00989132,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1030,0.014690042,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1033,0.00396235,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1318,0.014722368,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1347,0.01710879,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1348,0.020137705,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1456,0.014754291,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1457,0.011959157,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1458,0.0133492425,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1460,0.005053568,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1461,0.006563642,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1462,0.013434219,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1496,0.013374174,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1497,0.011657837,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1498,0.013573894,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1499,0.026876677,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1500,0.012373093,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1501,0.0078923805,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1502,0.014862574,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1503,0.016528081,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1504,0.0048951455,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1505,0.017873,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1592,0.0029045844,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
58,1697,0.009653743,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
60,61,0.23943123,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
61,60,0.0024003815,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
61,1943,0.03246195,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
61,1944,0.033605956,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
61,1945,0.034185845,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
65,1318,0.01807931,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
65,1456,0.019416802,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
65,1457,0.013220897,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
65,1458,0.01505433,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
65,1460,0.0041235024,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
65,1461,0.005450391,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
65,1462,0.015107134,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
65,1697,0.008674283,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
67,1318,0.018067311,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
67,1456,0.01940553,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
67,1457,0.013211625,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
67,1458,0.015043264,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
67,1460,0.0041182404,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
67,1461,0.0054442184,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
67,1462,0.015095886,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
67,1697,0.008665825,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
68,1318,0.016460888,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
68,1456,0.017721107,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
68,1457,0.011989164,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
68,1458,0.01367325,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
68,1460,0.0047881342,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
68,1461,0.006207577,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
68,1462,0.013750303,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
68,1697,0.008964593,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
155,248,0.021271754,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
155,1203,0.0028799144,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
155,1204,0.0039914427,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
155,1205,0.008215799,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
155,1206,0.016997945,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
155,1207,0.015074226,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
155,1213,0.0145634,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
155,1217,0.008220363,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
159,248,0.020556793,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
159,1203,0.0037221904,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
159,1204,0.005310039,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
159,1205,0.010724751,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
159,1206,0.01715613,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
159,1207,0.015810471,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
159,1213,0.015573282,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
159,1217,0.010710241,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
248,155,0.013726376,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
248,159,0.034542304,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
248,1456,0.026196321,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
248,1457,0.019914908,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
248,1458,0.02233037,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
248,1460,0.008459452,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
248,1461,0.010991029,hop1,AGE-RAGE signaling pathway in diabetic complications,sp1,R3757880
